primaryOfficeId,givenNames,familyName,role,mobile,username,email,password
CRVS_OFFICE_LHUYvwY2Aq1,Chipo,Lungu,NATIONAL_REGISTRAR,0911111111,c.lungu,kalushabwalya17@gmail.com,test
CRVS_OFFICE_LHUYvwY2Aq1,Mutale,Musonda,PERFORMANCE_MANAGER,0922222222,m.musonda,kalushabwalya17+@gmail.com,test
CRVS_OFFICE_LHUYvwY2Aq1,Jonathan,Campbell,NATIONAL_SYSTEM_ADMIN,0933333333,j.campbell,kalushabwalya1.7@gmail.com,test
CRVS_OFFICE_Ov8OIeilmwj,Bastien,Moreau,EMBASSY_OFFICIAL,0921681112,b.moreau,kalushabwalya.17@gmail.com,test
CRVS_OFFICE_QrJy3W76BGd,Sarah,Jenkins,EMBASSY_OFFICIAL,0915151516,s.jenkins,kalus.habwalya17@gmail.com,test
CRVS_OFFICE_eF8mK8JAMKZ,Mitchel,Owen,PROVINCIAL_REGISTRAR,0921111111,m.owen,kalushabwaly.a17@gmail.com,test
CRVS_OFFICE_eF8mK8JAMKZ,Emmanuel,Mayuka,LOCAL_SYSTEM_ADMIN,0912121212,e.mayuka,kalushabwal.ya17@gmail.com,test
CRVS_OFFICE_xmJJAsGfSTn,Kennedy,Mweene,LOCAL_REGISTRAR,0923232323,k.mweene,kalushabwa.lya17@gmail.com,test
CRVS_OFFICE_xmJJAsGfSTn,Felix,Katongo,REGISTRATION_AGENT,0934343434,f.katongo,kalushabw.alya17@gmail.com,test
CRVS_OFFICE_t0qT1Vh8qi3,Kalusha,Bwalya,HOSPITAL_CLERK,0978787878,k.bwalya,kalushab.walya17@gmail.com,test
CRVS_OFFICE_PmAyxAJkxiJ,Gift,Phiri,COMMUNITY_LEADER,0922222223,g.phiri,kalushabwalya17+2@gmail.com,test
CRVS_OFFICE_eVjED8aCu1H,Memory,Zulu,COMMUNITY_LEADER,0933333334,m.zulu,kalushabwalya17+3@gmail.com,test
CRVS_OFFICE_nXbOqc9PhWF,Brighton,Chimba,COMMUNITY_LEADER,0921681113,b.chimba,kalushabwalya17+4@gmail.com,test
CRVS_OFFICE_B2DjIXE16c3,Loveness,Ng'andu,COMMUNITY_LEADER,0915151517,l.ngandu,kalushabwalya17+5@gmail.com,test
CRVS_OFFICE_LhCinzvFDJO,Mwansa,Chileshe,COMMUNITY_LEADER,0921111112,m.chileshe,kalushabwalya17+6@gmail.com,test
CRVS_OFFICE_x3LR9wxW7zO,Humphrey,Katumbi,COMMUNITY_LEADER,0912121213,h.katumbi,kalushabwalya17+7@gmail.com,test
CRVS_OFFICE_fBDlbuWS5Ix,Agness,Tembo,COMMUNITY_LEADER,0923232324,a.tembo,kalushabwalya17+8@gmail.com,test
CRVS_OFFICE_Ry6NHyadadA,Mwila,Chikwanda,PROVINCIAL_REGISTRAR,0934343435,m.chikwanda,kalushabwalya17+9@gmail.com,test
CRVS_OFFICE_Ry6NHyadadA,Taonga,Nkhoma,LOCAL_SYSTEM_ADMIN,0978787879,t.nkhoma,kalushabwalya17+10@gmail.com,test
CRVS_OFFICE_Ap0mxDoJJ9s,Kondwani,Mwale,LOCAL_REGISTRAR,0977777778,k.mwale,kalushabwalya17+11@gmail.com,test
